tweet_id,time_created,url,username,tweet,like_count,reply_count,quote_count,retweet_count
1954242562451226727,2025-08-09 18:05:09+00:00,https://x.com/gataungapainn/status/1954242562451226727,gataungapainn,@FilmIndoSource yang tidak nonton merah putih one for all perlu ditanyakan jiwa nasionalimenya,2023,140,31,117
1954781886435434850,2025-08-11 05:48:14+00:00,https://x.com/tomAfrian/status/1954781886435434850,tomAfrian,"@KucengTerbanggg Merah putih one for all. Film terbaik sepanjang masa, ditonton berkali kali ga pernah bosen. Isi ceritanya menggambarkan keaneka ragaman Indonesia.

Bismillah komisaris BUMN",233,9,2,7
1954781197101617303,2025-08-11 05:45:30+00:00,https://x.com/00thersideofme/status/1954781197101617303,00thersideofme,nonton infinity castle atau merah putih one for all ya 😹😹😹,0,0,0,0
1954780846025748987,2025-08-11 05:44:06+00:00,https://x.com/grok/status/1954780846025748987,grok,"Ya, film animasi ""Merah Putih: One For All"" wajib ditonton bagi yang ingin mendukung karya anak bangsa bertema nasionalisme, terutama jelang HUT RI ke-80. Meski trailer menunjukkan cerita persatuan anak-anak dari beragam latar, ada kritik soal kualitas animasi yang terkesan buru-buru dan mirip proyek sekolah. Tonton untuk apresiasi budaya, tapi kelola ekspektasi. Rilis 14 Agustus!",0,0,1,0
1954780754204053687,2025-08-11 05:43:44+00:00,https://x.com/gatauakukls4sd/status/1954780754204053687,gatauakukls4sd,@gfliteversion nonton anime merah putih one for all aja,0,1,0,0
1954779915779236024,2025-08-11 05:40:24+00:00,https://x.com/fajaronline/status/1954779915779236024,fajaronline,"Film Merah Putih One For All Dikritik,  Dibandingkan dengan Animasi Lain https://t.co/St85plEnO5",0,0,0,0
1954779755435503841,2025-08-11 05:39:46+00:00,https://x.com/HendraI02096030/status/1954779755435503841,HendraI02096030,https://t.co/bukl3hnAGT,0,0,0,0
1954779706827608379,2025-08-11 05:39:34+00:00,https://x.com/winoriii/status/1954779706827608379,winoriii,@KucengTerbanggg merah putih one for all,0,0,0,0
1954779546546540974,2025-08-11 05:38:56+00:00,https://x.com/detikhot/status/1954779546546540974,detikhot,"Film animasi Merah Putih: One For All hadir menjelang HUT ke-80 RI, mendapatkan kritik pedas. Siapa di balik layarnya?

via detikPop https://t.co/CGnqe1eJZK",0,0,0,1
1954779476052840678,2025-08-11 05:38:39+00:00,https://x.com/jebe_lebe/status/1954779476052840678,jebe_lebe,Jgn2 animasi Merah Putih One For All sengaja dibuat buat mancing netizen ribut dan lupa sama kasus yang lebih penting,3,2,0,0
1954779318766420333,2025-08-11 05:38:02+00:00,https://x.com/allhope_abandon/status/1954779318766420333,allhope_abandon,"@tempodotco Inimah gimmick buat ngeramein animasi terbaik sepanjang masa, merah putih one for all",0,0,0,0
1954779310415577295,2025-08-11 05:38:00+00:00,https://x.com/detikcom/status/1954779310415577295,detikcom,"Film animasi Merah Putih: One For All hadir menjelang HUT ke-80 RI, mendapatkan kritik pedas. Siapa di balik layarnya?

via @detik_pop 

https://t.co/G5S9vlapkz",1,0,0,1
1954778792788217989,2025-08-11 05:35:56+00:00,https://x.com/BeautynesiaID/status/1954778792788217989,BeautynesiaID,Seperti Ini Respon Pembuat Film 'Merah Putih: One For All' Usai Hebohkan Media Sosial https://t.co/DjfIfO1E8q,0,0,0,0
1954778354244341883,2025-08-11 05:34:12+00:00,https://x.com/HigurashiKageya/status/1954778354244341883,HigurashiKageya,"Guys, if u want to support local animation, instead watch ""Merah putih one for all"" in cinema, u guys should consider check ""Back to Page One"" short animation

We're (NVD24) animating it with our pure love and hardwork

Also u can watch it for FREE on yt: 
https://t.co/FVSniXS4FL https://t.co/Zp41IWHkdV",5,1,0,3
1954777732468109700,2025-08-11 05:31:44+00:00,https://x.com/ciptaan_yme/status/1954777732468109700,ciptaan_yme,"@cinderawrla Lala, jangan lupa tgl 15 kita ke bioskop nonton ""Merah Putih One For All"" yaaa 🥳🥳",0,1,0,0
1954777407325602286,2025-08-11 05:30:26+00:00,https://x.com/catchmeupco/status/1954777407325602286,catchmeupco,"Kalau dikasih tiket gratis, gas nonton nggak gaes?

Sebuah Film Animasi Indonesia berjudul Merah Putih One For All  disorot publik. Bukannya dapat apresiasi, film animasi yang diklaim sebagai film animasi Indonesia pertama bertema kebangsaan ini malah banjir kritik karena kualitas visualnya yang dianggap kurang memuaskan. 

Setelah animasi JUMBO jadi box office dengan sederet prestasinya, hadirnya film animasi yang berdurasi sekitar 70 menit ini tak pelak dibanding-bandingkan dari segi waktu pengerjaan yang singkat sampai anggaran fantastis untuk membuatnya sebesar Rp6,7 miliar. 

Dapat kritik bertubi-tubi, produser film animasi Merah Putih One For All, Toto Soegriwo akhirnya angkat bicara. “Senyumin aja, komentator lebih pandai dari pemain. Banyak yang mengambil manfaat juga kan? Postingan kalian viral kan?” tulis Toto dalam unggahan Instagram pribadinya @totosoegriwo.

Trailer film animasi yang bakal tayang di bioskop 14 Agustus 2025 ini diunggah di channel Youtube CGV Kreasi. Menceritakan tentang sekelompok anak-anak dari berbagai latar belakang suku di Indonesia yang terpilih buat menjaga bendera pusaka yang bakal dikibarkan di upacara 17 Agustus.",40,9,6,6
1954777066219716722,2025-08-11 05:29:05+00:00,https://x.com/unvforgettable/status/1954777066219716722,unvforgettable,"merah putih all for one, stop muncul di berandaku alias MUAK BANGET SIALANN",1,0,0,0
1954776816759243009,2025-08-11 05:28:05+00:00,https://x.com/daffafahrezi16/status/1954776816759243009,daffafahrezi16,@husain_owo Merah Putih One for All 😊,0,1,0,0
1954776477578440788,2025-08-11 05:26:44+00:00,https://x.com/pacarnyajett/status/1954776477578440788,pacarnyajett,"5 alasan kenapa kamu harus nonton merah putih one for all

a thread https://t.co/fPtmrSH0g8",1,1,0,0
1954776080230871130,2025-08-11 05:25:10+00:00,https://x.com/MediaVoi/status/1954776080230871130,MediaVoi,Komentar Pedas Sutradara Hanung Bramantyo Film Merah Putih One For All https://t.co/Hh4a4Dh3cm,0,0,0,0
1954776000887431358,2025-08-11 05:24:51+00:00,https://x.com/HlPradana/status/1954776000887431358,HlPradana,Ide hukuman buat maling: nonton merah putih one for all di loop trus diiket di kursi dipaksa melek,0,0,0,0
1954775941189939399,2025-08-11 05:24:37+00:00,https://x.com/DiswayMalang/status/1954775941189939399,DiswayMalang,"Jelang Tayang pada 14 Agustus, Film Animasi 'Merah Putih: One For All' Jadi Perbincangan

Via : Bacaan dan Hiburan
https://t.co/YOzjOTKoph",0,0,0,0
